State,Avg Daily Distance(Km),Avg Daily Distance levels(Km),Brand,Model,Price (INR),Year of Manufacture,Engine Capacity (cc),Engin Capacity Groups,Fuel Type,Mileage (km/l),Owner Type,Registration Year,Insurance Status,Seller Type,Resale Price (INR),City Tier
Delhi,37.9,Moderate Usage,Royal Enfield,Classic 350,"$265,957.00 ",2015,158,151-300 cc,Petrol,56.25,First,2015,Expired,Individual,"$111,040.12 ",Tier 1
Delhi,52.56,High Usage,Hero,Passion Pro,"$261,854.00 ",2019,158,151-300 cc,Petrol,57.88,Third,2024,Active,Individual,"$201,549.33 ",Tier 2
Uttar Pradesh,48.01,High Usage,TVS,Jupiter,"$351,117.00 ",2022,158,151-300 cc,Hybrid,60.56,First,2022,Not Available,Dealer,"$207,255.15 ",Tier 2
West Bengal,61.5,High Usage,Honda,Activa,"$263,137.00 ",2020,158,151-300 cc,Electric,77.27,First,2020,Expired,Individual,"$204,713.71 ",Tier 2
Maharashtra,36.5,Moderate Usage,Honda,Activa,"$147,636.00 ",2023,158,151-300 cc,Electric,77.98,First,2023,Active,Dealer,"$91,774.38 ",Tier 2
West Bengal,24.07,Moderate Usage,Bajaj,Platina 110,"$57,220.00 ",2021,158,151-300 cc,Electric,80.25,Third,2021,Not Available,Dealer,"$45,483.90 ",Tier 3
Maharashtra,35.21,Moderate Usage,Yamaha,Fascino 125,"$243,164.00 ",2019,158,151-300 cc,Electric,83.27,Third,2019,Active,Dealer,"$126,050.87 ",Tier 2
Gujarat,26.84,Moderate Usage,TVS,Apache RTR 160,"$57,689.00 ",2017,158,151-300 cc,Hybrid,83.5,Third,2019,Expired,Individual,"$26,172.93 ",Tier 3
Maharashtra,28.57,Moderate Usage,Kawasaki,Ninja 400,"$223,015.00 ",2022,158,151-300 cc,Hybrid,92.57,Second,2022,Expired,Dealer,"$159,008.60 ",Metro
Tamil Nadu,12.59,Lower Usage,Bajaj,Avenger 220,"$323,235.00 ",2024,158,151-300 cc,Electric,93.36,Second,2024,Not Available,Individual,"$165,176.17 ",Tier 3
Delhi,42.58,High Usage,Honda,Shine,"$240,136.00 ",2020,158,151-300 cc,Electric,97.86,First,2020,Active,Dealer,"$129,877.47 ",Tier 3
Uttar Pradesh,22.94,Moderate Usage,TVS,Ronin,"$207,317.00 ",2016,158,151-300 cc,Hybrid,98.04,First,2016,Not Available,Dealer,"$94,086.50 ",Tier 2
Rajasthan,27.26,Moderate Usage,TVS,Jupiter,"$175,508.00 ",2016,159,151-300 cc,Petrol,33.79,Second,2020,Expired,Individual,"$101,806.55 ",Tier 2
Maharashtra,8,Lower Usage,Bajaj,Pulsar 150,"$177,133.00 ",2021,159,151-300 cc,Petrol,35.74,Third,2022,Expired,Individual,"$107,142.72 ",Tier 3
Maharashtra,68.15,High Usage,Honda,Unicorn,"$227,573.00 ",2020,159,151-300 cc,Petrol,40.44,Third,2022,Expired,Dealer,"$153,237.75 ",Tier 1
Uttar Pradesh,17.2,Lower Usage,Royal Enfield,Classic 350,"$221,503.00 ",2023,159,151-300 cc,Petrol,41.04,Second,2023,Active,Dealer,"$108,734.49 ",Metro
Karnataka,26.85,Moderate Usage,TVS,Ronin,"$368,478.00 ",2019,159,151-300 cc,Petrol,47.14,First,2019,Active,Dealer,"$283,564.67 ",Tier 2
Uttar Pradesh,19.8,Lower Usage,Bajaj,CT 100,"$347,466.00 ",2022,159,151-300 cc,Petrol,48.66,Third,2022,Not Available,Individual,"$227,817.74 ",Tier 3
Madhya Pradesh,61.35,High Usage,Honda,Unicorn,"$126,519.00 ",2017,159,151-300 cc,Hybrid,61.41,Second,2018,Expired,Individual,"$90,878.71 ",Tier 2
Karnataka,35.77,Moderate Usage,Honda,Shine,"$193,088.00 ",2022,159,151-300 cc,Hybrid,61.78,Second,2024,Active,Individual,"$123,641.82 ",Tier 1
Delhi,10.51,Lower Usage,TVS,NTorq 125,"$163,565.00 ",2018,159,151-300 cc,Electric,77.46,Third,2024,Expired,Individual,"$87,432.60 ",Tier 2
Gujarat,42.52,High Usage,Bajaj,Avenger 220,"$361,503.00 ",2023,159,151-300 cc,Electric,77.75,Second,2023,Not Available,Dealer,"$216,550.84 ",Tier 3
Gujarat,57.94,High Usage,TVS,Sport,"$77,805.00 ",2021,159,151-300 cc,Hybrid,84.87,Second,2024,Expired,Individual,"$61,346.35 ",Tier 1
Tamil Nadu,62.14,High Usage,KTM,250 Duke,"$115,466.00 ",2016,159,151-300 cc,Electric,87.33,Second,2018,Active,Individual,"$63,678.22 ",Tier 1
Tamil Nadu,54.12,High Usage,Royal Enfield,Interceptor 650,"$358,679.00 ",2020,160,151-300 cc,Petrol,33.05,Third,2020,Active,Individual,"$172,119.90 ",Metro
West Bengal,12.06,Lower Usage,KTM,390 Adventure,"$252,489.00 ",2016,160,151-300 cc,Petrol,35.87,Third,2018,Active,Individual,"$189,869.02 ",Tier 2
Tamil Nadu,44.14,High Usage,TVS,Sport,"$143,320.00 ",2018,160,151-300 cc,Petrol,49.8,Third,2018,Active,Individual,"$83,758.37 ",Tier 2
Rajasthan,54.51,High Usage,TVS,Ronin,"$218,834.00 ",2016,160,151-300 cc,Petrol,54.22,First,2016,Expired,Dealer,"$145,957.59 ",Tier 2
Uttar Pradesh,14.45,Lower Usage,Kawasaki,Ninja 400,"$298,415.00 ",2019,160,151-300 cc,Petrol,58.03,Third,2022,Not Available,Dealer,"$220,463.11 ",Tier 2
Rajasthan,52.08,High Usage,Royal Enfield,Interceptor 650,"$197,801.00 ",2018,160,151-300 cc,Petrol,59.19,First,2018,Not Available,Individual,"$92,394.77 ",Tier 2
Maharashtra,50.26,High Usage,Bajaj,Platina 110,"$57,402.00 ",2016,160,151-300 cc,Hybrid,67.75,First,2016,Expired,Dealer,"$37,924.14 ",Tier 2
Rajasthan,48.39,High Usage,Bajaj,Pulsar 150,"$164,159.00 ",2023,160,151-300 cc,Electric,69.64,Second,2024,Active,Individual,"$70,033.39 ",Tier 2
Rajasthan,7.78,Lower Usage,Bajaj,Dominar 400,"$353,428.00 ",2015,160,151-300 cc,Electric,70.48,Second,2017,Active,Individual,"$231,134.16 ",Tier 1
Punjab,15.16,Lower Usage,KTM,390 Adventure,"$58,188.00 ",2021,160,151-300 cc,Hybrid,73.33,Second,2022,Not Available,Individual,"$41,718.62 ",Tier 3
Maharashtra,14.03,Lower Usage,Bajaj,CT 100,"$186,955.00 ",2019,160,151-300 cc,Electric,89.45,Third,2021,Expired,Dealer,"$85,892.97 ",Tier 3
Uttar Pradesh,15.28,Lower Usage,Kawasaki,Versys 650,"$171,730.00 ",2021,160,151-300 cc,Hybrid,93.39,First,2021,Not Available,Individual,"$91,205.69 ",Tier 1
Rajasthan,30.83,Moderate Usage,Yamaha,R15 V4,"$388,273.00 ",2015,160,151-300 cc,Electric,97.61,First,2015,Not Available,Individual,"$218,900.65 ",Tier 2
Gujarat,71,High Usage,Royal Enfield,Interceptor 650,"$283,009.00 ",2023,161,151-300 cc,Petrol,29.68,Third,2024,Not Available,Individual,"$207,806.27 ",Tier 3
West Bengal,10.76,Lower Usage,Kawasaki,Ninja 400,"$382,759.00 ",2016,161,151-300 cc,Petrol,42.66,First,2016,Expired,Individual,"$281,062.59 ",Tier 3
Rajasthan,60,High Usage,Kawasaki,Ninja 400,"$70,599.00 ",2024,161,151-300 cc,Hybrid,67.24,First,2024,Not Available,Individual,"$43,201.37 ",Tier 1
Maharashtra,67.32,High Usage,Kawasaki,Versys 650,"$389,820.00 ",2020,161,151-300 cc,Electric,71.45,Third,2022,Expired,Individual,"$193,302.32 ",Metro
Gujarat,15.42,Lower Usage,Royal Enfield,Hunter 350,"$221,764.00 ",2015,161,151-300 cc,Electric,79.7,First,2015,Expired,Individual,"$99,619.15 ",Metro
Tamil Nadu,7.52,Lower Usage,KTM,250 Duke,"$227,246.00 ",2022,161,151-300 cc,Hybrid,81.21,Second,2024,Active,Individual,"$111,111.30 ",Tier 1
Karnataka,11.6,Lower Usage,Kawasaki,Ninja 300,"$205,257.00 ",2016,161,151-300 cc,Hybrid,85.21,Second,2018,Not Available,Dealer,"$153,365.37 ",Metro
Gujarat,30.82,Moderate Usage,Hero,Xtreme 160R,"$234,746.00 ",2021,161,151-300 cc,Hybrid,85.71,First,2021,Not Available,Individual,"$100,582.94 ",Tier 1
Karnataka,23.5,Moderate Usage,Bajaj,CT 100,"$203,865.00 ",2015,161,151-300 cc,Hybrid,97.26,Third,2016,Not Available,Individual,"$150,462.39 ",Tier 2
West Bengal,64.21,High Usage,KTM,Duke 200,"$213,572.00 ",2020,162,151-300 cc,Hybrid,61.63,Third,2020,Not Available,Dealer,"$132,311.70 ",Tier 3
Rajasthan,22.17,Moderate Usage,TVS,Apache RTR 160,"$202,153.00 ",2016,162,151-300 cc,Hybrid,69.2,Second,2019,Active,Individual,"$132,324.26 ",Tier 1
Delhi,20.73,Lower Usage,Royal Enfield,Classic 350,"$386,215.00 ",2019,162,151-300 cc,Electric,84.08,First,2019,Expired,Dealer,"$252,452.44 ",Tier 2
Gujarat,59.94,High Usage,Honda,Shine,"$180,159.00 ",2021,162,151-300 cc,Electric,85.14,Second,2024,Expired,Dealer,"$133,340.64 ",Tier 3
Tamil Nadu,54.42,High Usage,TVS,NTorq 125,"$336,275.00 ",2023,162,151-300 cc,Electric,85.64,First,2023,Expired,Dealer,"$159,244.23 ",Tier 2
Gujarat,57.93,High Usage,Hero,HF Deluxe,"$324,282.00 ",2021,162,151-300 cc,Hybrid,99.37,Second,2024,Active,Individual,"$152,194.90 ",Metro
Madhya Pradesh,71.72,High Usage,Kawasaki,Ninja 300,"$376,648.00 ",2019,163,151-300 cc,Petrol,27.9,Second,2019,Active,Individual,"$240,406.28 ",Tier 2
Tamil Nadu,36.61,Moderate Usage,Honda,Dio,"$131,033.00 ",2015,163,151-300 cc,Petrol,38.86,Third,2020,Not Available,Dealer,"$67,482.89 ",Metro
Karnataka,35.23,Moderate Usage,TVS,Sport,"$227,609.00 ",2018,163,151-300 cc,Petrol,53.17,First,2018,Active,Individual,"$95,116.70 ",Metro
Punjab,65.89,High Usage,KTM,Duke 200,"$111,138.00 ",2023,163,151-300 cc,Petrol,56.12,Third,2024,Active,Dealer,"$81,721.97 ",Tier 3
Gujarat,31.83,Moderate Usage,Bajaj,Avenger 220,"$350,572.00 ",2018,163,151-300 cc,Petrol,59.38,Third,2018,Not Available,Individual,"$202,530.65 ",Metro
Punjab,33.84,Moderate Usage,Honda,Dio,"$370,154.00 ",2023,163,151-300 cc,Hybrid,69.76,Third,2023,Not Available,Dealer,"$159,550.45 ",Tier 3
Delhi,11.79,Lower Usage,TVS,NTorq 125,"$53,708.00 ",2015,163,151-300 cc,Electric,71.18,Third,2024,Not Available,Dealer,"$38,395.92 ",Tier 1
Gujarat,66.99,High Usage,Kawasaki,Vulcan S,"$278,416.00 ",2018,163,151-300 cc,Electric,75.81,Second,2023,Active,Individual,"$181,857.82 ",Tier 1
Punjab,16.86,Lower Usage,KTM,390 Adventure,"$155,512.00 ",2015,163,151-300 cc,Hybrid,80.76,Third,2018,Expired,Dealer,"$85,074.03 ",Tier 1
Delhi,23.42,Moderate Usage,Hero,Splendor Plus,"$336,796.00 ",2019,163,151-300 cc,Hybrid,84.64,Third,2020,Expired,Dealer,"$257,457.96 ",Metro
Rajasthan,45.74,High Usage,Honda,Shine,"$52,754.00 ",2023,163,151-300 cc,Hybrid,90.57,Third,2023,Not Available,Individual,"$38,006.66 ",Tier 2
Punjab,21.83,Moderate Usage,KTM,Duke 200,"$177,699.00 ",2017,163,151-300 cc,Electric,97.86,First,2017,Active,Dealer,"$124,299.29 ",Tier 1
Madhya Pradesh,44.96,High Usage,Honda,CBR 650R,"$123,142.00 ",2018,164,151-300 cc,Petrol,29.41,Second,2023,Expired,Individual,"$66,737.72 ",Tier 2
Punjab,11.66,Lower Usage,Hero,Passion Pro,"$236,166.00 ",2023,164,151-300 cc,Petrol,29.51,Second,2024,Active,Dealer,"$164,926.07 ",Tier 3
Karnataka,58.91,High Usage,Bajaj,Platina 110,"$92,770.00 ",2016,164,151-300 cc,Petrol,30.52,Third,2024,Active,Individual,"$49,632.30 ",Tier 1
Gujarat,70.08,High Usage,Yamaha,MT-15,"$167,364.00 ",2024,164,151-300 cc,Petrol,32.67,First,2024,Active,Dealer,"$132,751.85 ",Tier 2
Punjab,41.47,High Usage,KTM,Duke 200,"$150,764.00 ",2024,164,151-300 cc,Petrol,33.17,Third,2024,Active,Dealer,"$77,671.05 ",Tier 3
Maharashtra,40.38,Moderate Usage,Royal Enfield,Meteor 350,"$191,065.00 ",2016,164,151-300 cc,Petrol,33.45,Third,2024,Active,Individual,"$92,244.63 ",Tier 1
Maharashtra,78.58,High Usage,Yamaha,FZ V3,"$72,976.00 ",2020,164,151-300 cc,Petrol,38.85,First,2020,Expired,Individual,"$33,291.05 ",Tier 3
Punjab,49.32,High Usage,TVS,NTorq 125,"$90,796.00 ",2020,164,151-300 cc,Hybrid,60.92,First,2020,Not Available,Dealer,"$71,000.13 ",Metro
Rajasthan,77.15,High Usage,Honda,Dio,"$184,462.00 ",2016,164,151-300 cc,Hybrid,63.06,Third,2024,Active,Dealer,"$85,499.66 ",Tier 1
Tamil Nadu,47.42,High Usage,Kawasaki,Vulcan S,"$95,313.00 ",2015,164,151-300 cc,Hybrid,70.6,First,2015,Active,Individual,"$66,300.29 ",Tier 1
Maharashtra,34.28,Moderate Usage,Honda,Shine,"$202,323.00 ",2015,164,151-300 cc,Electric,79.65,Third,2015,Expired,Dealer,"$99,906.92 ",Metro
Rajasthan,8.49,Lower Usage,Hero,HF Deluxe,"$268,877.00 ",2016,164,151-300 cc,Electric,82.62,First,2016,Not Available,Dealer,"$165,967.70 ",Tier 1
West Bengal,39.17,Moderate Usage,Bajaj,Pulsar 150,"$104,691.00 ",2015,164,151-300 cc,Electric,84,Third,2020,Active,Individual,"$57,554.67 ",Tier 3
Uttar Pradesh,40.03,Moderate Usage,Honda,Unicorn,"$271,051.00 ",2016,164,151-300 cc,Electric,93.35,Second,2020,Expired,Individual,"$174,092.69 ",Tier 2
Gujarat,36.69,Moderate Usage,Kawasaki,Vulcan S,"$160,714.00 ",2016,165,151-300 cc,Petrol,38.94,First,2016,Expired,Individual,"$119,841.00 ",Tier 3
Uttar Pradesh,62.57,High Usage,TVS,Sport,"$353,758.00 ",2016,165,151-300 cc,Hybrid,61.66,Third,2016,Expired,Individual,"$223,840.19 ",Tier 3
Delhi,65.75,High Usage,Royal Enfield,Hunter 350,"$353,893.00 ",2023,165,151-300 cc,Electric,61.93,Second,2024,Expired,Dealer,"$231,506.87 ",Tier 2
Gujarat,77.3,High Usage,TVS,Jupiter,"$224,360.00 ",2016,165,151-300 cc,Hybrid,64.2,Second,2017,Active,Dealer,"$95,290.13 ",Tier 3
Uttar Pradesh,72.2,High Usage,Royal Enfield,Hunter 350,"$100,849.00 ",2021,165,151-300 cc,Electric,83.02,Second,2023,Expired,Dealer,"$53,584.11 ",Metro
Uttar Pradesh,37.74,Moderate Usage,Kawasaki,Versys 650,"$228,948.00 ",2023,165,151-300 cc,Hybrid,93.2,Third,2023,Not Available,Dealer,"$155,107.99 ",Metro
Maharashtra,62.11,High Usage,TVS,Sport,"$268,655.00 ",2024,165,151-300 cc,Electric,94.56,Second,2024,Not Available,Dealer,"$163,113.63 ",Tier 3
Uttar Pradesh,74.76,High Usage,Honda,Activa,"$250,388.00 ",2015,166,151-300 cc,Petrol,33.09,Third,2016,Active,Dealer,"$174,810.15 ",Metro
Tamil Nadu,78.8,High Usage,Kawasaki,Versys 650,"$302,394.00 ",2019,166,151-300 cc,Petrol,39.87,Third,2019,Active,Dealer,"$221,912.02 ",Metro
Karnataka,19.37,Lower Usage,Kawasaki,Ninja 400,"$216,865.00 ",2022,166,151-300 cc,Petrol,40.2,Second,2022,Active,Individual,"$112,099.57 ",Tier 3
Tamil Nadu,36.14,Moderate Usage,Hero,Xtreme 160R,"$62,022.00 ",2023,166,151-300 cc,Petrol,55.2,Second,2023,Active,Individual,"$29,649.59 ",Tier 2
Gujarat,58.56,High Usage,Hero,Xtreme 160R,"$107,028.00 ",2021,166,151-300 cc,Petrol,59.28,Second,2024,Not Available,Dealer,"$76,021.19 ",Tier 2
West Bengal,21.7,Moderate Usage,Hero,Splendor Plus,"$219,933.00 ",2017,166,151-300 cc,Hybrid,60.13,Third,2022,Expired,Individual,"$100,871.70 ",Tier 1
Uttar Pradesh,37.68,Moderate Usage,KTM,Duke 200,"$241,615.00 ",2017,166,151-300 cc,Electric,64.07,Second,2024,Active,Dealer,"$182,401.05 ",Tier 2
Delhi,50.73,High Usage,Hero,Splendor Plus,"$174,075.00 ",2020,166,151-300 cc,Hybrid,76.81,First,2020,Not Available,Individual,"$77,581.51 ",Tier 1
Karnataka,25.39,Moderate Usage,Kawasaki,Ninja 300,"$232,034.00 ",2018,166,151-300 cc,Hybrid,77.75,Third,2024,Not Available,Individual,"$159,657.82 ",Metro
West Bengal,34.95,Moderate Usage,Honda,Dio,"$62,354.00 ",2018,166,151-300 cc,Electric,79.7,First,2018,Not Available,Individual,"$25,998.66 ",Tier 1
Uttar Pradesh,48.73,High Usage,Yamaha,Fascino 125,"$338,831.00 ",2022,166,151-300 cc,Electric,87.17,Second,2023,Not Available,Dealer,"$196,061.24 ",Tier 1
Karnataka,61.23,High Usage,KTM,250 Duke,"$117,815.00 ",2016,166,151-300 cc,Hybrid,89.2,First,2016,Active,Dealer,"$54,558.50 ",Tier 3
Tamil Nadu,66.1,High Usage,TVS,Apache RTR 160,"$123,360.00 ",2021,166,151-300 cc,Electric,91.24,Second,2022,Active,Dealer,"$85,224.79 ",Tier 3
Gujarat,48.22,High Usage,KTM,250 Duke,"$389,007.00 ",2016,166,151-300 cc,Electric,91.71,First,2016,Active,Dealer,"$177,989.24 ",Tier 2
West Bengal,10.58,Lower Usage,Yamaha,Ray ZR,"$379,454.00 ",2023,166,151-300 cc,Hybrid,93,First,2023,Expired,Dealer,"$300,884.59 ",Metro
Maharashtra,57.39,High Usage,Yamaha,Ray ZR,"$348,995.00 ",2024,166,151-300 cc,Hybrid,95.41,Third,2024,Expired,Individual,"$182,835.76 ",Metro
Karnataka,43.95,High Usage,TVS,Apache RTR 160,"$144,565.00 ",2024,167,151-300 cc,Petrol,29.44,First,2024,Expired,Dealer,"$86,786.80 ",Metro
West Bengal,74.83,High Usage,Yamaha,R15 V4,"$150,587.00 ",2017,167,151-300 cc,Petrol,30.58,Second,2024,Not Available,Dealer,"$79,349.00 ",Tier 3
Karnataka,54.95,High Usage,Kawasaki,Vulcan S,"$300,648.00 ",2020,167,151-300 cc,Petrol,35.02,First,2020,Not Available,Individual,"$140,725.64 ",Metro
Tamil Nadu,48.64,High Usage,KTM,RC 390,"$233,964.00 ",2017,167,151-300 cc,Petrol,45.33,Second,2017,Active,Dealer,"$157,989.22 ",Metro
Delhi,10.97,Lower Usage,TVS,Jupiter,"$279,733.00 ",2017,167,151-300 cc,Petrol,48.27,Third,2020,Active,Individual,"$220,486.88 ",Metro
West Bengal,78.74,High Usage,Kawasaki,Ninja 300,"$69,473.00 ",2021,167,151-300 cc,Hybrid,76.05,First,2021,Active,Dealer,"$52,102.85 ",Metro
Punjab,29.3,Moderate Usage,Bajaj,Pulsar 150,"$304,243.00 ",2021,167,151-300 cc,Hybrid,84.61,Third,2022,Not Available,Dealer,"$188,498.24 ",Tier 1
Uttar Pradesh,10.77,Lower Usage,Hero,Xtreme 160R,"$394,469.00 ",2015,167,151-300 cc,Electric,92.87,Second,2022,Expired,Individual,"$217,482.98 ",Tier 1
Karnataka,76.88,High Usage,Bajaj,Dominar 400,"$394,588.00 ",2018,168,151-300 cc,Petrol,47.77,Third,2022,Expired,Dealer,"$244,142.16 ",Tier 2
Rajasthan,49.9,High Usage,Yamaha,Fascino 125,"$325,112.00 ",2017,168,151-300 cc,Petrol,53.82,First,2017,Expired,Dealer,"$150,783.83 ",Metro
Uttar Pradesh,10.1,Lower Usage,Royal Enfield,Interceptor 650,"$181,296.00 ",2024,168,151-300 cc,Electric,60.01,Third,2024,Active,Dealer,"$95,010.24 ",Tier 2
West Bengal,45.97,High Usage,Honda,Shine,"$262,481.00 ",2024,168,151-300 cc,Hybrid,74.23,First,2024,Not Available,Dealer,"$162,268.60 ",Metro
Maharashtra,75.53,High Usage,TVS,NTorq 125,"$137,484.00 ",2017,168,151-300 cc,Electric,75.39,Third,2018,Expired,Individual,"$83,127.06 ",Metro
Maharashtra,78.47,High Usage,TVS,Jupiter,"$322,415.00 ",2016,168,151-300 cc,Hybrid,77.56,First,2016,Active,Individual,"$150,806.20 ",Metro
Punjab,43.92,High Usage,KTM,RC 390,"$93,006.00 ",2018,168,151-300 cc,Hybrid,79.01,Second,2018,Not Available,Individual,"$64,976.18 ",Tier 1
Punjab,79.01,High Usage,Yamaha,R15 V4,"$85,485.00 ",2016,168,151-300 cc,Hybrid,83.84,First,2016,Expired,Individual,"$64,557.14 ",Tier 3
Madhya Pradesh,57.61,High Usage,TVS,Ronin,"$179,407.00 ",2024,168,151-300 cc,Electric,90.65,First,2024,Expired,Dealer,"$105,619.70 ",Tier 3
Karnataka,67.18,High Usage,TVS,Ronin,"$363,880.00 ",2020,169,151-300 cc,Petrol,25.9,First,2020,Expired,Individual,"$212,475.00 ",Tier 3
Maharashtra,42.82,High Usage,Hero,Glamour,"$108,551.00 ",2021,169,151-300 cc,Petrol,26.58,Second,2023,Active,Individual,"$77,724.37 ",Tier 3
Punjab,15.75,Lower Usage,Royal Enfield,Himalayan,"$308,391.00 ",2016,169,151-300 cc,Petrol,29.69,First,2016,Expired,Individual,"$130,781.23 ",Tier 2
Uttar Pradesh,47.3,High Usage,Bajaj,Avenger 220,"$212,155.00 ",2019,169,151-300 cc,Petrol,33.38,First,2019,Not Available,Individual,"$89,691.70 ",Metro
Rajasthan,18.12,Lower Usage,TVS,Jupiter,"$376,405.00 ",2024,169,151-300 cc,Hybrid,60.46,Second,2024,Expired,Dealer,"$229,446.45 ",Metro
Punjab,59.31,High Usage,Bajaj,Dominar 400,"$369,219.00 ",2016,169,151-300 cc,Hybrid,63.16,Second,2021,Expired,Individual,"$244,983.04 ",Metro
Delhi,34.24,Moderate Usage,TVS,Apache RTR 160,"$222,522.00 ",2016,169,151-300 cc,Electric,68,First,2016,Not Available,Individual,"$129,701.12 ",Tier 2
West Bengal,14.82,Lower Usage,Kawasaki,Versys 650,"$258,690.00 ",2022,169,151-300 cc,Electric,68.63,Third,2024,Not Available,Individual,"$124,786.75 ",Metro
Tamil Nadu,22.58,Moderate Usage,Yamaha,FZ V3,"$65,569.00 ",2015,169,151-300 cc,Hybrid,73.29,First,2015,Active,Individual,"$35,079.40 ",Tier 3
Uttar Pradesh,76.73,High Usage,Kawasaki,Z650,"$316,175.00 ",2022,169,151-300 cc,Electric,76.01,First,2022,Active,Individual,"$127,464.43 ",Tier 2
Tamil Nadu,52.06,High Usage,Royal Enfield,Classic 350,"$70,807.00 ",2024,169,151-300 cc,Electric,79,Second,2024,Expired,Dealer,"$40,452.40 ",Tier 3
Karnataka,17.2,Lower Usage,Kawasaki,Z650,"$213,790.00 ",2020,169,151-300 cc,Hybrid,80.56,Second,2023,Expired,Dealer,"$111,725.27 ",Metro
Madhya Pradesh,70.9,High Usage,TVS,Sport,"$99,577.00 ",2015,169,151-300 cc,Hybrid,94.67,First,2015,Not Available,Dealer,"$57,421.87 ",Tier 1
Gujarat,20.29,Lower Usage,KTM,390 Adventure,"$74,168.00 ",2022,170,151-300 cc,Petrol,33.92,Second,2024,Not Available,Individual,"$33,957.00 ",Tier 2
Madhya Pradesh,26.25,Moderate Usage,TVS,Jupiter,"$364,592.00 ",2018,170,151-300 cc,Petrol,38.86,Third,2024,Not Available,Individual,"$160,492.29 ",Tier 2
Madhya Pradesh,62.86,High Usage,Honda,Shine,"$194,497.00 ",2023,170,151-300 cc,Petrol,51.16,Second,2024,Expired,Individual,"$94,758.70 ",Tier 1
Uttar Pradesh,50.99,High Usage,Bajaj,Platina 110,"$155,681.00 ",2018,170,151-300 cc,Petrol,52.12,First,2018,Expired,Dealer,"$62,511.61 ",Metro
Karnataka,65.59,High Usage,Honda,Unicorn,"$317,011.00 ",2023,170,151-300 cc,Petrol,52.86,First,2023,Expired,Dealer,"$194,185.70 ",Metro
Punjab,26.48,Moderate Usage,Royal Enfield,Hunter 350,"$305,432.00 ",2019,170,151-300 cc,Petrol,56.81,First,2019,Active,Individual,"$234,236.62 ",Tier 2
Delhi,66.33,High Usage,Yamaha,FZ V3,"$254,936.00 ",2021,170,151-300 cc,Petrol,58.5,First,2021,Expired,Individual,"$161,478.07 ",Tier 3
Madhya Pradesh,51.03,High Usage,KTM,125 Duke,"$256,048.00 ",2018,170,151-300 cc,Hybrid,61.46,First,2018,Not Available,Dealer,"$190,006.61 ",Tier 2
Tamil Nadu,60.38,High Usage,Hero,Glamour,"$181,544.00 ",2018,170,151-300 cc,Hybrid,65.55,First,2018,Not Available,Dealer,"$124,652.65 ",Tier 2
Delhi,7.61,Lower Usage,Hero,HF Deluxe,"$171,260.00 ",2021,170,151-300 cc,Hybrid,66.03,First,2021,Active,Individual,"$103,862.20 ",Tier 3
Rajasthan,49.39,High Usage,Yamaha,FZ V3,"$314,941.00 ",2019,170,151-300 cc,Hybrid,76.66,First,2019,Not Available,Dealer,"$154,898.20 ",Tier 1
Rajasthan,17.89,Lower Usage,Hero,Glamour,"$305,750.00 ",2018,170,151-300 cc,Electric,77.07,Second,2024,Not Available,Dealer,"$186,661.65 ",Metro
Uttar Pradesh,52.91,High Usage,Kawasaki,Vulcan S,"$108,540.00 ",2015,170,151-300 cc,Electric,80.62,Second,2024,Not Available,Individual,"$81,793.87 ",Metro
Tamil Nadu,64.93,High Usage,KTM,Duke 200,"$371,783.00 ",2023,170,151-300 cc,Electric,92.09,Third,2024,Active,Individual,"$210,454.75 ",Tier 3
Karnataka,46.06,High Usage,Royal Enfield,Hunter 350,"$130,627.00 ",2022,170,151-300 cc,Hybrid,92.34,Third,2022,Expired,Individual,"$68,418.86 ",Tier 2
Maharashtra,34.8,Moderate Usage,Honda,Dio,"$200,293.00 ",2018,171,151-300 cc,Electric,63.17,First,2018,Active,Dealer,"$109,304.96 ",Tier 2
Madhya Pradesh,79,High Usage,TVS,Sport,"$182,642.00 ",2018,171,151-300 cc,Electric,63.46,First,2018,Not Available,Individual,"$103,583.65 ",Tier 2
Karnataka,14.09,Lower Usage,Yamaha,FZ V3,"$283,897.00 ",2024,171,151-300 cc,Hybrid,73.36,First,2024,Active,Dealer,"$168,113.87 ",Tier 3
Delhi,66.31,High Usage,Kawasaki,Z650,"$260,095.00 ",2021,171,151-300 cc,Hybrid,77.08,Second,2023,Not Available,Individual,"$200,074.23 ",Tier 3
Punjab,28.36,Moderate Usage,KTM,125 Duke,"$116,582.00 ",2020,171,151-300 cc,Hybrid,79.31,First,2020,Expired,Individual,"$62,922.67 ",Tier 3
Tamil Nadu,23.69,Moderate Usage,Kawasaki,Z650,"$76,541.00 ",2024,171,151-300 cc,Hybrid,86.37,First,2024,Expired,Dealer,"$35,509.05 ",Tier 1
Punjab,17.35,Lower Usage,TVS,Apache RTR 160,"$61,250.00 ",2019,171,151-300 cc,Electric,91.99,Third,2021,Expired,Individual,"$27,476.59 ",Tier 2
Madhya Pradesh,59.03,High Usage,Kawasaki,Z650,"$148,236.00 ",2021,171,151-300 cc,Hybrid,94.86,Third,2023,Expired,Dealer,"$82,397.97 ",Tier 3
Delhi,56.73,High Usage,Hero,HF Deluxe,"$312,299.00 ",2019,171,151-300 cc,Electric,99.45,Third,2021,Not Available,Dealer,"$143,967.21 ",Tier 3
