State,Avg Daily Distance(Km),Brand,Model,Price (INR),Year of Manufacture,Engine Capacity (cc),Fuel Type,Mileage (km/l),Owner Type,Registration Year,Insurance Status,Seller Type,Resale Price (INR),City Tier
Punjab,63.5,Yamaha,MT-15,"$293,460.00 ",2016,188,Electric,76.56,First,2016,Active,Individual,"$136,565.44 ",Tier 1
West Bengal,19.6,Honda,Shine,"$260,409.00 ",2015,188,Electric,83.41,Third,2020,Active,Dealer,"$166,800.70 ",Tier 2
Tamil Nadu,41.04,Royal Enfield,Interceptor 650,"$84,462.00 ",2019,188,Hybrid,97.35,Third,2022,Not Available,Individual,"$47,002.11 ",Tier 3
Tamil Nadu,11.92,KTM,390 Adventure,"$263,585.00 ",2017,189,Petrol,30.69,Third,2021,Active,Dealer,"$150,335.94 ",Tier 2
Uttar Pradesh,31.05,Bajaj,Avenger 220,"$342,759.00 ",2016,189,Petrol,41.43,Third,2016,Expired,Individual,"$207,799.07 ",Tier 3
Tamil Nadu,57.32,Bajaj,Avenger 220,"$299,575.00 ",2024,189,Petrol,41.45,Second,2024,Active,Individual,"$183,246.53 ",Metro
Uttar Pradesh,50.89,Honda,Shine,"$91,769.00 ",2020,189,Petrol,45.19,First,2020,Not Available,Dealer,"$71,052.64 ",Tier 2
Punjab,52.02,Royal Enfield,Classic 350,"$353,703.00 ",2022,189,Petrol,48.97,Third,2024,Active,Dealer,"$224,629.38 ",Metro
Karnataka,47.86,Kawasaki,Vulcan S,"$288,319.00 ",2022,189,Petrol,55.37,Second,2024,Active,Individual,"$196,010.51 ",Tier 3
Punjab,29.99,Bajaj,Pulsar 150,"$203,110.00 ",2018,189,Electric,66.14,Third,2023,Expired,Individual,"$81,284.47 ",Tier 2
Delhi,7.52,Kawasaki,Vulcan S,"$252,106.00 ",2024,189,Electric,70.52,Second,2024,Active,Dealer,"$165,051.89 ",Tier 1
Tamil Nadu,40.36,Yamaha,MT-15,"$62,265.00 ",2021,189,Hybrid,71.82,Second,2022,Not Available,Individual,"$41,529.91 ",Tier 2
Gujarat,55.75,KTM,390 Adventure,"$121,306.00 ",2020,189,Hybrid,82.43,First,2020,Expired,Dealer,"$84,724.11 ",Metro
Maharashtra,78.64,Yamaha,R15 V4,"$222,985.00 ",2019,189,Electric,83.47,Third,2024,Expired,Individual,"$111,949.62 ",Tier 1
Karnataka,79.15,Honda,Dio,"$363,784.00 ",2017,189,Electric,83.49,Third,2023,Expired,Dealer,"$181,111.98 ",Tier 3
Delhi,43.07,Hero,Glamour,"$287,314.00 ",2018,189,Electric,87.1,Second,2022,Not Available,Dealer,"$135,508.21 ",Tier 1
Tamil Nadu,11.52,Bajaj,Pulsar 150,"$74,401.00 ",2024,190,Petrol,48.74,First,2024,Active,Dealer,"$36,117.15 ",Tier 2
Delhi,12.65,KTM,250 Duke,"$201,014.00 ",2024,190,Petrol,52.63,Third,2024,Expired,Individual,"$98,552.82 ",Tier 3
Rajasthan,62.53,Yamaha,MT-15,"$171,420.00 ",2015,190,Petrol,58.83,Second,2018,Expired,Dealer,"$121,371.01 ",Tier 1
Karnataka,70.96,KTM,RC 390,"$261,738.00 ",2019,190,Electric,61.31,Third,2024,Expired,Dealer,"$204,598.74 ",Metro
Gujarat,61.92,Kawasaki,Z650,"$201,429.00 ",2020,190,Electric,62.83,First,2020,Expired,Individual,"$96,576.11 ",Tier 2
Rajasthan,60.81,KTM,250 Duke,"$252,904.00 ",2019,190,Electric,63.74,Second,2019,Active,Individual,"$159,845.24 ",Tier 1
Karnataka,24.48,Bajaj,Pulsar 150,"$305,662.00 ",2021,190,Hybrid,64.21,First,2021,Not Available,Dealer,"$228,436.49 ",Metro
Punjab,36.65,Yamaha,MT-15,"$234,603.00 ",2017,190,Electric,65.6,Second,2019,Active,Individual,"$108,521.12 ",Tier 1
Uttar Pradesh,40.1,Royal Enfield,Himalayan,"$138,262.00 ",2016,190,Electric,71.59,Second,2019,Not Available,Dealer,"$60,798.39 ",Tier 2
Rajasthan,21.39,Royal Enfield,Interceptor 650,"$142,945.00 ",2019,190,Hybrid,73.16,Second,2020,Not Available,Individual,"$81,802.72 ",Tier 1
Gujarat,44.83,Kawasaki,Vulcan S,"$178,160.00 ",2024,190,Hybrid,73.72,First,2024,Not Available,Individual,"$132,349.12 ",Tier 1
Gujarat,22.22,KTM,Duke 200,"$195,199.00 ",2021,190,Electric,86.1,First,2021,Expired,Dealer,"$112,135.99 ",Tier 1
Delhi,61.18,Kawasaki,Ninja 300,"$291,086.00 ",2022,190,Electric,98.88,First,2022,Active,Dealer,"$142,992.05 ",Tier 1
Maharashtra,7.25,Kawasaki,Ninja 300,"$269,996.00 ",2021,190,Electric,99.57,First,2021,Active,Dealer,"$111,028.61 ",Tier 1
Maharashtra,65.84,Bajaj,Pulsar 150,"$106,350.00 ",2016,191,Petrol,28.58,Third,2019,Active,Dealer,"$56,520.66 ",Tier 1
Gujarat,13.1,Bajaj,Dominar 400,"$94,975.00 ",2015,191,Petrol,33.42,Third,2018,Not Available,Dealer,"$75,504.85 ",Tier 1
Gujarat,31.07,TVS,Ronin,"$171,699.00 ",2015,191,Petrol,44.71,Second,2016,Expired,Individual,"$119,039.66 ",Metro
Rajasthan,35.54,Kawasaki,Z650,"$261,821.00 ",2018,191,Petrol,51.28,Third,2019,Not Available,Dealer,"$206,891.01 ",Tier 3
Maharashtra,69.96,Kawasaki,Z650,"$176,362.00 ",2024,191,Petrol,56.3,First,2024,Active,Individual,"$105,929.90 ",Tier 2
Karnataka,62.27,Hero,HF Deluxe,"$319,128.00 ",2017,191,Hybrid,63.04,First,2017,Not Available,Individual,"$216,627.56 ",Tier 3
Maharashtra,71.07,KTM,390 Adventure,"$220,972.00 ",2021,191,Electric,67.16,Third,2024,Expired,Dealer,"$134,036.71 ",Metro
Delhi,33.88,Yamaha,FZ V3,"$260,849.00 ",2020,191,Hybrid,84.91,Second,2020,Expired,Individual,"$179,395.83 ",Tier 1
Maharashtra,56.74,Kawasaki,Vulcan S,"$270,916.00 ",2021,191,Electric,97.34,First,2021,Active,Individual,"$129,563.68 ",Tier 3
Tamil Nadu,64.66,Bajaj,Dominar 400,"$198,473.00 ",2020,192,Petrol,32.17,Third,2022,Not Available,Dealer,"$123,536.00 ",Metro
Gujarat,31.59,Bajaj,CT 100,"$64,849.00 ",2018,192,Petrol,33.5,First,2018,Not Available,Dealer,"$27,121.78 ",Metro
Rajasthan,49.64,Honda,Activa,"$221,409.00 ",2018,192,Petrol,46.99,First,2018,Active,Dealer,"$135,365.60 ",Tier 3
Madhya Pradesh,76.43,Hero,Splendor Plus,"$310,875.00 ",2024,192,Petrol,47.03,Third,2024,Active,Dealer,"$169,566.14 ",Tier 2
Rajasthan,56.15,Bajaj,Dominar 400,"$236,856.00 ",2018,192,Electric,60.02,Third,2024,Expired,Individual,"$158,858.32 ",Tier 1
West Bengal,75.38,Yamaha,FZ V3,"$384,277.00 ",2016,192,Electric,63.82,Second,2016,Not Available,Individual,"$221,649.71 ",Tier 2
Rajasthan,54.59,Bajaj,Avenger 220,"$114,390.00 ",2021,192,Hybrid,86.05,Second,2023,Not Available,Dealer,"$79,747.16 ",Tier 1
West Bengal,79.9,Yamaha,Fascino 125,"$93,451.00 ",2023,192,Electric,99.38,First,2023,Not Available,Dealer,"$71,167.81 ",Tier 2
Karnataka,49.95,KTM,250 Duke,"$186,392.00 ",2021,193,Petrol,30.65,Second,2022,Expired,Individual,"$145,272.90 ",Tier 1
Uttar Pradesh,56.81,Yamaha,Ray ZR,"$121,564.00 ",2020,193,Petrol,51.99,First,2020,Active,Individual,"$84,833.38 ",Tier 1
Uttar Pradesh,14.34,KTM,250 Duke,"$332,903.00 ",2018,193,Hybrid,61.84,Second,2024,Active,Dealer,"$246,090.49 ",Tier 3
Madhya Pradesh,41.57,Bajaj,Avenger 220,"$389,905.00 ",2016,193,Electric,63.34,First,2016,Not Available,Dealer,"$293,810.38 ",Tier 3
Tamil Nadu,7.4,Honda,Dio,"$101,680.00 ",2016,193,Electric,69.2,First,2016,Not Available,Individual,"$76,118.46 ",Metro
Tamil Nadu,37.61,KTM,125 Duke,"$312,758.00 ",2019,193,Electric,71.91,First,2019,Expired,Dealer,"$132,599.43 ",Tier 1
Karnataka,46.01,Honda,Unicorn,"$192,786.00 ",2015,193,Electric,72.97,Second,2022,Active,Individual,"$131,693.81 ",Tier 2
Tamil Nadu,41.75,Yamaha,FZ V3,"$251,858.00 ",2024,193,Hybrid,92.66,First,2024,Active,Individual,"$185,017.03 ",Tier 1
Punjab,76.19,Bajaj,CT 100,"$288,359.00 ",2022,194,Petrol,59.42,Third,2022,Expired,Dealer,"$123,412.86 ",Tier 1
Madhya Pradesh,47.86,Bajaj,Platina 110,"$315,318.00 ",2017,194,Electric,65.6,First,2017,Active,Individual,"$162,472.51 ",Tier 3
Gujarat,31.46,Royal Enfield,Interceptor 650,"$285,176.00 ",2017,194,Electric,71.64,Third,2024,Active,Dealer,"$224,058.30 ",Tier 2
Rajasthan,19.64,Bajaj,Platina 110,"$238,654.00 ",2021,194,Hybrid,71.65,First,2021,Active,Dealer,"$132,667.57 ",Metro
Maharashtra,52.94,Yamaha,R15 V4,"$292,630.00 ",2018,194,Electric,76.8,Second,2021,Active,Dealer,"$158,106.42 ",Tier 1
Delhi,6.17,TVS,Jupiter,"$380,974.00 ",2016,194,Hybrid,76.81,Second,2017,Not Available,Individual,"$280,921.96 ",Metro
Karnataka,52.93,Honda,Activa,"$188,838.00 ",2023,194,Hybrid,78.83,Third,2023,Active,Dealer,"$106,336.33 ",Tier 1
Uttar Pradesh,64.84,Hero,HF Deluxe,"$306,114.00 ",2015,194,Electric,79.18,Third,2019,Active,Dealer,"$139,289.10 ",Tier 3
Delhi,35.41,Yamaha,Fascino 125,"$89,645.00 ",2020,194,Hybrid,79.62,First,2020,Active,Individual,"$46,290.75 ",Metro
Delhi,77.67,Bajaj,Platina 110,"$56,937.00 ",2024,194,Electric,82.7,Second,2024,Not Available,Dealer,"$33,936.05 ",Tier 1
Punjab,79.91,Yamaha,R15 V4,"$344,280.00 ",2016,194,Electric,89.84,Third,2020,Active,Individual,"$274,159.94 ",Tier 3
Uttar Pradesh,18.51,TVS,NTorq 125,"$387,928.00 ",2016,194,Hybrid,90.05,First,2016,Not Available,Individual,"$268,122.38 ",Metro
Maharashtra,59.77,Kawasaki,Versys 650,"$213,220.00 ",2019,194,Hybrid,90.48,Third,2024,Expired,Individual,"$121,080.49 ",Tier 3
Punjab,36.92,TVS,NTorq 125,"$90,788.00 ",2021,195,Petrol,34.3,First,2021,Expired,Individual,"$45,510.15 ",Metro
Uttar Pradesh,22.43,Royal Enfield,Meteor 350,"$62,623.00 ",2020,195,Petrol,45.34,Second,2022,Expired,Dealer,"$40,859.16 ",Tier 3
Uttar Pradesh,27.77,TVS,Sport,"$135,077.00 ",2022,195,Petrol,53.72,First,2022,Expired,Dealer,"$77,300.14 ",Metro
Uttar Pradesh,27.32,KTM,RC 390,"$90,110.00 ",2017,195,Petrol,55.5,First,2017,Active,Individual,"$64,016.42 ",Tier 2
Uttar Pradesh,40.77,KTM,125 Duke,"$256,147.00 ",2018,195,Petrol,56.46,Second,2019,Not Available,Individual,"$190,816.09 ",Tier 1
Maharashtra,57.7,Hero,Xtreme 160R,"$207,085.00 ",2015,195,Electric,62.21,Third,2024,Active,Dealer,"$161,694.61 ",Tier 2
Rajasthan,49.12,Hero,Passion Pro,"$318,959.00 ",2023,195,Hybrid,65.02,Second,2023,Not Available,Individual,"$181,718.63 ",Tier 3
Delhi,72.37,TVS,Jupiter,"$308,688.00 ",2018,195,Hybrid,65.41,Second,2024,Active,Individual,"$191,387.04 ",Metro
West Bengal,29.11,TVS,Ronin,"$343,332.00 ",2018,195,Hybrid,68.83,Second,2020,Active,Individual,"$243,535.00 ",Tier 2
Uttar Pradesh,48.26,Royal Enfield,Meteor 350,"$361,855.00 ",2015,195,Electric,79.9,Second,2017,Not Available,Dealer,"$165,047.89 ",Tier 3
Delhi,47.8,Honda,Unicorn,"$259,385.00 ",2022,195,Electric,93.35,First,2022,Expired,Individual,"$197,760.05 ",Tier 2
Tamil Nadu,46.56,Bajaj,Pulsar 150,"$309,052.00 ",2015,195,Electric,94.54,First,2015,Active,Individual,"$147,423.71 ",Tier 3
Delhi,65.67,Royal Enfield,Classic 350,"$154,046.00 ",2021,195,Hybrid,96.18,Second,2024,Active,Individual,"$92,375.60 ",Tier 2
West Bengal,58,KTM,RC 390,"$352,777.00 ",2017,196,Petrol,25.57,First,2017,Expired,Individual,"$152,291.88 ",Tier 1
West Bengal,11.43,KTM,390 Adventure,"$257,620.00 ",2018,196,Petrol,26.26,First,2018,Expired,Individual,"$113,537.48 ",Tier 3
Madhya Pradesh,51.67,Honda,Activa,"$88,988.00 ",2020,196,Petrol,31.42,Third,2021,Expired,Individual,"$59,399.40 ",Tier 2
West Bengal,8.51,KTM,RC 390,"$241,920.00 ",2021,196,Petrol,59.07,First,2021,Not Available,Individual,"$192,251.21 ",Tier 1
Rajasthan,8.05,Kawasaki,Ninja 400,"$326,850.00 ",2022,196,Hybrid,64.54,Third,2022,Expired,Dealer,"$159,144.33 ",Metro
Maharashtra,59.41,Yamaha,Ray ZR,"$137,593.00 ",2024,196,Hybrid,68.96,Second,2024,Active,Dealer,"$64,717.00 ",Tier 2
Uttar Pradesh,58.72,KTM,250 Duke,"$366,026.00 ",2018,196,Electric,75.01,First,2018,Not Available,Individual,"$164,026.55 ",Tier 1
Rajasthan,6.46,KTM,250 Duke,"$299,212.00 ",2019,196,Hybrid,76.9,Third,2021,Not Available,Dealer,"$152,855.25 ",Tier 3
Maharashtra,20.78,Royal Enfield,Himalayan,"$184,389.00 ",2021,196,Hybrid,80,Third,2022,Not Available,Individual,"$77,523.49 ",Tier 1
Karnataka,7.41,Kawasaki,Ninja 300,"$161,619.00 ",2016,196,Electric,80.02,Third,2021,Not Available,Dealer,"$72,742.27 ",Tier 1
Uttar Pradesh,30.57,Hero,Glamour,"$305,162.00 ",2017,196,Hybrid,81.77,Third,2022,Active,Individual,"$201,622.88 ",Metro
Delhi,20.03,Kawasaki,Ninja 300,"$149,610.00 ",2024,196,Hybrid,83.23,Third,2024,Active,Individual,"$71,708.40 ",Tier 2
Karnataka,16.66,Kawasaki,Ninja 400,"$247,471.00 ",2018,196,Electric,83.39,Second,2024,Not Available,Dealer,"$152,626.84 ",Tier 2
Gujarat,15.25,KTM,125 Duke,"$254,199.00 ",2020,196,Hybrid,83.72,First,2020,Expired,Individual,"$187,630.59 ",Metro
Uttar Pradesh,45.8,TVS,Sport,"$330,726.00 ",2016,196,Electric,85.63,First,2016,Active,Individual,"$202,364.40 ",Tier 2
Tamil Nadu,12.5,KTM,Duke 200,"$337,973.00 ",2016,196,Hybrid,97.57,Second,2019,Not Available,Dealer,"$190,257.38 ",Tier 2
Tamil Nadu,59.93,Hero,Passion Pro,"$89,854.00 ",2024,197,Petrol,26.79,Second,2024,Not Available,Dealer,"$68,962.03 ",Metro
Gujarat,26.69,TVS,Sport,"$303,407.00 ",2024,197,Petrol,28.81,First,2024,Expired,Dealer,"$144,319.09 ",Tier 3
Uttar Pradesh,62.59,Yamaha,Fascino 125,"$268,437.00 ",2024,197,Petrol,34.32,Third,2024,Expired,Individual,"$132,527.28 ",Tier 2
Tamil Nadu,39.42,Bajaj,Avenger 220,"$196,286.00 ",2022,197,Petrol,39.03,Second,2024,Expired,Individual,"$81,857.85 ",Metro
Delhi,59.26,Kawasaki,Ninja 300,"$271,488.00 ",2023,197,Petrol,42.9,Third,2023,Not Available,Dealer,"$199,460.82 ",Tier 1
Rajasthan,8.02,TVS,Sport,"$249,222.00 ",2024,197,Petrol,49.01,Second,2024,Active,Dealer,"$147,655.12 ",Metro
Tamil Nadu,39.22,Honda,Shine,"$322,042.00 ",2021,197,Petrol,55.66,First,2021,Expired,Individual,"$229,406.85 ",Tier 2
Maharashtra,72.34,Yamaha,R15 V4,"$154,089.00 ",2017,197,Hybrid,60.08,Second,2024,Not Available,Individual,"$84,701.02 ",Tier 1
Gujarat,62.33,TVS,Sport,"$124,320.00 ",2022,197,Hybrid,62.53,First,2022,Expired,Individual,"$63,755.73 ",Tier 2
West Bengal,78.93,KTM,390 Adventure,"$364,717.00 ",2016,197,Hybrid,67.29,Third,2021,Active,Individual,"$226,433.72 ",Metro
Delhi,16.8,TVS,Apache RTR 160,"$223,889.00 ",2024,197,Hybrid,73.8,Third,2024,Expired,Dealer,"$98,029.67 ",Tier 3
West Bengal,17.39,Bajaj,Pulsar 150,"$314,001.00 ",2022,197,Electric,84.19,Third,2023,Active,Dealer,"$247,775.70 ",Metro
Delhi,29.37,KTM,390 Adventure,"$138,013.00 ",2024,197,Electric,84.62,First,2024,Not Available,Dealer,"$105,159.80 ",Tier 3
Madhya Pradesh,34.98,Royal Enfield,Interceptor 650,"$235,142.00 ",2017,197,Hybrid,97.41,Second,2017,Not Available,Dealer,"$154,906.60 ",Metro
Karnataka,21.88,Royal Enfield,Himalayan,"$189,612.00 ",2015,198,Petrol,41.89,Third,2024,Active,Individual,"$96,260.62 ",Metro
Rajasthan,12.67,Bajaj,Avenger 220,"$254,861.00 ",2019,198,Petrol,54.07,Third,2023,Not Available,Dealer,"$144,884.07 ",Metro
Gujarat,19.82,Kawasaki,Z650,"$377,738.00 ",2022,198,Electric,86.2,Second,2022,Not Available,Dealer,"$250,204.84 ",Metro
Gujarat,43.58,Honda,CBR 650R,"$80,146.00 ",2019,198,Hybrid,96.21,Third,2021,Expired,Dealer,"$37,338.76 ",Tier 3
Gujarat,52.21,Bajaj,Avenger 220,"$384,754.00 ",2019,199,Petrol,30.25,First,2019,Expired,Individual,"$286,829.36 ",Metro
Gujarat,8.98,Honda,CBR 650R,"$247,081.00 ",2020,199,Petrol,44.21,First,2020,Active,Dealer,"$115,819.60 ",Tier 2
Uttar Pradesh,55.49,Yamaha,Fascino 125,"$134,230.00 ",2023,199,Petrol,45.84,Third,2023,Not Available,Individual,"$56,075.14 ",Tier 2
Karnataka,42.48,Royal Enfield,Classic 350,"$309,665.00 ",2018,199,Petrol,52.97,Third,2018,Expired,Individual,"$243,371.34 ",Metro
Tamil Nadu,51.89,Honda,Activa,"$222,032.00 ",2021,199,Petrol,59.92,First,2021,Active,Dealer,"$123,082.66 ",Tier 1
Uttar Pradesh,34.01,Kawasaki,Ninja 400,"$353,135.00 ",2016,199,Electric,65.43,Second,2017,Active,Individual,"$172,858.87 ",Tier 3
Madhya Pradesh,67.98,Yamaha,MT-15,"$100,389.00 ",2017,199,Electric,76.33,Third,2020,Expired,Dealer,"$76,726.83 ",Tier 2
Gujarat,72.91,KTM,Duke 200,"$228,616.00 ",2023,199,Hybrid,78.26,Second,2024,Active,Dealer,"$146,217.88 ",Tier 3
Gujarat,41.22,Bajaj,Platina 110,"$348,988.00 ",2019,199,Electric,79.88,First,2019,Active,Individual,"$209,829.06 ",Metro
Karnataka,11.6,KTM,250 Duke,"$85,569.00 ",2017,199,Electric,81.21,Second,2019,Not Available,Individual,"$36,541.84 ",Tier 3
Uttar Pradesh,52.55,Kawasaki,Vulcan S,"$371,448.00 ",2017,199,Hybrid,82.74,First,2017,Active,Individual,"$251,991.90 ",Tier 3
Punjab,55.64,Bajaj,Avenger 220,"$278,941.00 ",2019,199,Hybrid,83.92,Second,2021,Expired,Dealer,"$168,146.14 ",Tier 3
Delhi,20.41,KTM,390 Adventure,"$278,668.00 ",2022,199,Hybrid,85.71,Second,2022,Expired,Individual,"$204,813.92 ",Tier 3
Punjab,79.38,Royal Enfield,Hunter 350,"$126,128.00 ",2015,199,Hybrid,93.51,Third,2022,Expired,Dealer,"$58,444.01 ",Metro
Karnataka,61.54,Yamaha,MT-15,"$76,560.00 ",2017,199,Electric,99.58,Second,2018,Expired,Dealer,"$43,617.47 ",Tier 1
Gujarat,5.64,Kawasaki,Z650,"$91,034.00 ",2019,200,Petrol,36.02,Third,2021,Not Available,Individual,"$36,463.79 ",Tier 1
Punjab,24.56,Honda,Activa,"$375,947.00 ",2019,200,Electric,67.21,Second,2024,Active,Individual,"$270,932.56 ",Tier 3
Gujarat,29.22,Kawasaki,Vulcan S,"$399,401.00 ",2024,200,Electric,73.05,Second,2024,Expired,Individual,"$241,488.02 ",Tier 3
Maharashtra,8.39,Royal Enfield,Himalayan,"$154,599.00 ",2020,200,Hybrid,81.41,Third,2020,Not Available,Individual,"$69,254.77 ",Tier 3
Rajasthan,32.26,Kawasaki,Ninja 400,"$117,893.00 ",2019,200,Electric,86.8,Third,2021,Active,Individual,"$66,086.03 ",Tier 3
Delhi,21.14,Kawasaki,Vulcan S,"$340,842.00 ",2018,200,Electric,88.89,First,2018,Not Available,Dealer,"$166,431.59 ",Tier 3
Maharashtra,41.91,Hero,Splendor Plus,"$368,014.00 ",2017,200,Electric,90.49,First,2017,Not Available,Dealer,"$261,748.70 ",Metro
Uttar Pradesh,68.12,Honda,Unicorn,"$91,202.00 ",2018,200,Electric,97.24,Third,2022,Not Available,Individual,"$70,256.04 ",Tier 1
Tamil Nadu,23.04,Yamaha,MT-15,"$92,829.00 ",2017,200,Electric,99.77,Second,2021,Active,Individual,"$42,934.94 ",Tier 3
Karnataka,61.92,Honda,Activa,"$347,423.00 ",2015,201,Petrol,28.03,Third,2022,Expired,Dealer,"$262,744.61 ",Tier 1
Tamil Nadu,9,KTM,390 Adventure,"$285,832.00 ",2020,201,Petrol,39.95,Second,2021,Not Available,Individual,"$220,322.48 ",Tier 3
Madhya Pradesh,49.39,Kawasaki,Versys 650,"$66,077.00 ",2020,201,Petrol,45.63,Second,2021,Active,Individual,"$50,392.43 ",Metro
Maharashtra,70.54,Hero,Xtreme 160R,"$339,286.00 ",2021,201,Petrol,49.33,Second,2023,Expired,Dealer,"$183,497.96 ",Tier 3
West Bengal,11.54,Hero,Xtreme 160R,"$173,586.00 ",2020,201,Petrol,58.55,First,2020,Expired,Individual,"$93,340.94 ",Tier 3
Maharashtra,10.08,Bajaj,Avenger 220,"$141,685.00 ",2018,201,Petrol,58.82,First,2018,Active,Dealer,"$99,828.57 ",Tier 2
Delhi,31.31,TVS,Jupiter,"$69,175.00 ",2022,201,Hybrid,65.57,Third,2023,Active,Individual,"$40,460.09 ",Metro
Madhya Pradesh,75.75,KTM,Duke 200,"$271,304.00 ",2018,201,Hybrid,76.16,First,2018,Not Available,Dealer,"$199,322.41 ",Tier 2
Tamil Nadu,26.66,KTM,125 Duke,"$180,098.00 ",2015,201,Hybrid,78.61,Third,2024,Not Available,Dealer,"$121,367.51 ",Tier 2
Uttar Pradesh,20.86,TVS,Sport,"$197,119.00 ",2018,201,Hybrid,86.91,First,2018,Expired,Dealer,"$91,158.66 ",Tier 1
West Bengal,65.43,TVS,NTorq 125,"$103,037.00 ",2021,201,Electric,88.18,First,2021,Not Available,Dealer,"$47,348.14 ",Tier 2
Punjab,62.6,Kawasaki,Ninja 400,"$395,526.00 ",2024,201,Hybrid,95.76,Third,2024,Not Available,Dealer,"$271,576.04 ",Tier 1
Uttar Pradesh,22.24,Bajaj,CT 100,"$331,947.00 ",2024,202,Petrol,28.03,First,2024,Not Available,Dealer,"$183,602.12 ",Tier 1
Delhi,57.83,Bajaj,Platina 110,"$73,407.00 ",2023,202,Electric,66.64,Third,2023,Expired,Individual,"$47,519.72 ",Tier 2
Gujarat,9.79,Hero,Glamour,"$253,403.00 ",2016,202,Electric,69.84,Third,2016,Expired,Individual,"$162,302.44 ",Tier 3
Madhya Pradesh,34.5,Bajaj,Avenger 220,"$370,719.00 ",2015,202,Electric,72.27,Third,2020,Expired,Individual,"$244,836.26 ",Metro
Madhya Pradesh,53.69,Hero,Passion Pro,"$381,259.00 ",2015,202,Electric,74.82,Third,2016,Expired,Dealer,"$272,211.86 ",Tier 2
Delhi,67.68,Honda,Unicorn,"$247,100.00 ",2024,202,Electric,78.08,Second,2024,Active,Dealer,"$113,564.37 ",Tier 2
Maharashtra,42.56,Kawasaki,Vulcan S,"$292,746.00 ",2016,202,Electric,78.92,First,2016,Expired,Individual,"$129,098.05 ",Metro
Madhya Pradesh,59.38,Bajaj,Platina 110,"$200,238.00 ",2023,202,Electric,91.48,Third,2023,Expired,Individual,"$142,209.66 ",Tier 3
Punjab,54.47,Bajaj,Avenger 220,"$399,627.00 ",2019,202,Hybrid,92.53,Second,2021,Expired,Dealer,"$291,600.18 ",Metro
Rajasthan,33.03,Bajaj,Avenger 220,"$301,300.00 ",2019,202,Electric,97.13,Third,2024,Active,Individual,"$196,062.13 ",Tier 1
Delhi,15.34,Honda,Dio,"$282,733.00 ",2022,203,Petrol,47.97,Second,2024,Not Available,Dealer,"$150,743.45 ",Tier 1
Maharashtra,22.22,Bajaj,Pulsar 150,"$63,244.00 ",2017,203,Petrol,53.16,First,2017,Active,Individual,"$31,666.65 ",Tier 2
Maharashtra,58.31,Honda,Unicorn,"$138,886.00 ",2022,203,Petrol,58.69,Third,2022,Active,Dealer,"$67,379.27 ",Tier 3
Rajasthan,58.33,Yamaha,FZ V3,"$84,943.00 ",2015,203,Electric,62.43,Third,2023,Active,Dealer,"$65,993.79 ",Tier 3
Maharashtra,56.89,Yamaha,FZ V3,"$213,563.00 ",2022,203,Electric,65.22,First,2022,Not Available,Individual,"$124,666.45 ",Metro
Uttar Pradesh,62.15,Bajaj,Dominar 400,"$178,789.00 ",2018,203,Hybrid,69.72,Second,2019,Active,Individual,"$127,521.63 ",Tier 3
Maharashtra,71.13,Kawasaki,Ninja 400,"$56,620.00 ",2022,203,Electric,71.07,Third,2022,Not Available,Individual,"$38,574.40 ",Tier 3
Gujarat,55.67,Kawasaki,Ninja 300,"$72,439.00 ",2022,203,Electric,72.3,First,2022,Not Available,Individual,"$55,334.24 ",Tier 3
Delhi,56.75,KTM,125 Duke,"$296,918.00 ",2022,203,Electric,72.35,First,2022,Active,Individual,"$150,412.35 ",Metro
Maharashtra,47.34,Kawasaki,Ninja 300,"$107,272.00 ",2022,203,Hybrid,72.67,First,2022,Not Available,Individual,"$60,192.26 ",Tier 2
Uttar Pradesh,59.25,Kawasaki,Ninja 300,"$370,967.00 ",2023,203,Electric,74.74,First,2023,Expired,Individual,"$224,810.45 ",Tier 2
Rajasthan,41.34,KTM,Duke 200,"$132,658.00 ",2016,203,Electric,75.2,First,2016,Not Available,Individual,"$84,045.91 ",Tier 1
Madhya Pradesh,79.51,Royal Enfield,Meteor 350,"$306,184.00 ",2023,203,Hybrid,77.79,Third,2023,Active,Individual,"$189,096.19 ",Tier 1
Gujarat,18.48,Royal Enfield,Interceptor 650,"$54,449.00 ",2021,203,Hybrid,80.63,Third,2021,Active,Individual,"$23,782.70 ",Metro
Maharashtra,53.07,TVS,Jupiter,"$369,039.00 ",2019,203,Electric,82.35,Second,2019,Not Available,Dealer,"$185,977.11 ",Tier 1
Karnataka,76.53,Honda,Shine,"$243,984.00 ",2015,203,Electric,94.92,First,2015,Not Available,Individual,"$192,126.79 ",Tier 2
Gujarat,44.19,Royal Enfield,Classic 350,"$201,636.00 ",2019,203,Hybrid,95.32,Third,2023,Active,Individual,"$153,627.48 ",Metro
Uttar Pradesh,39.94,Honda,CBR 650R,"$155,664.00 ",2023,203,Electric,96.64,First,2023,Active,Dealer,"$108,228.35 ",Tier 1
West Bengal,47.02,Royal Enfield,Classic 350,"$144,680.00 ",2018,203,Hybrid,97.08,Third,2019,Expired,Individual,"$78,038.12 ",Tier 3
Gujarat,36.45,Bajaj,CT 100,"$244,720.00 ",2022,203,Hybrid,98.31,Third,2024,Active,Dealer,"$176,107.94 ",Tier 3
Maharashtra,78.93,TVS,Apache RTR 160,"$313,333.00 ",2021,203,Hybrid,99.31,Second,2022,Active,Dealer,"$225,930.09 ",Tier 2
